Id,OS,Spendings,Subscribed
id00001,Android,1693,1
id00002,iOS,11070,0
id00003,Android,2482,1
id00004,iOS,10579,0
id00005,Android,2082,0
id00006,Other,795,0
id00007,iOS,10736,0
id00008,Android,2385,1
id00009,Android,1978,1
id00010,Android,673,0
id00011,iOS,10409,1
id00012,Other,1641,0
id00013,iOS,14012,0
id00014,iOS,10833,0
id00015,Other,5110,0
id00016,Android,2550,1
id00017,Other,1852,1
id00018,Android,2383,1
id00019,Other,2682,0
id00020,iOS,11139,1
id00021,Android,0,0
id00022,Android,3401,0
id00023,Android,0,0
id00024,Other,3664,1
id00025,Android,4223,1
id00026,iOS,6625,0
id00027,iOS,9400,0
id00028,iOS,12867,0
id00029,iOS,8279,0
id00030,Other,5932,0
id00031,iOS,12337,1
id00032,iOS,13475,0
id00033,iOS,13075,0
id00034,Android,690,1
id00035,Android,4300,1
id00036,iOS,9812,0
id00037,Android,1508,1
id00038,iOS,10867,1
id00039,Android,1292,1
id00040,iOS,7369,1
id00041,iOS,7721,1
id00042,Android,4701,1
id00043,iOS,8220,0
id00044,Other,5245,0
id00045,iOS,13243,1
id00046,Android,6224,1
id00047,Android,0,1
id00048,Other,2917,0
id00049,Android,0,0
id00050,Other,4693,0
id00051,Other,1516,0
id00052,iOS,10842,0
id00053,Android,3643,1
id00054,Android,614,1
id00055,iOS,6896,1
id00056,Android,0,0
id00057,Android,2267,0
id00058,Android,3855,1
id00059,iOS,12907,0
id00060,Other,1129,0
id00061,Other,0,1
id00062,Other,1183,0
id00063,Other,0,1
id00064,Other,5716,0
id00065,Android,1371,1
id00066,Android,0,1
id00067,Android,281,0
id00068,Other,483,0
id00069,iOS,13139,1
id00070,iOS,13539,0
id00071,iOS,6993,0
id00072,iOS,10429,0
id00073,Other,5305,1
id00074,Android,1799,1
id00075,Other,4019,0
id00076,iOS,11473,0
id00077,Other,963,0
id00078,iOS,9040,1
id00079,Android,2168,0
id00080,Other,542,1
id00081,iOS,7278,0
id00082,Other,5583,1
id00083,iOS,9468,0
id00084,Other,402,0
id00085,Android,579,1
id00086,iOS,10690,0
id00087,iOS,12532,0
id00088,Android,2720,1
id00089,Android,1759,1
id00090,Other,4641,0
id00091,Other,126,0
id00092,Other,2239,0
id00093,Android,1424,0
id00094,Other,3572,0
id00095,Other,1565,0
id00096,Android,2249,1
id00097,Android,530,0
id00098,Android,4597,1
id00099,iOS,7652,0
id00100,Other,1241,0
id00101,iOS,11099,0
id00102,Android,1327,0
id00103,Android,3590,1
id00104,Other,5228,0
id00105,Other,1393,1
id00106,Android,4341,0
id00107,Other,1312,0
id00108,Android,3718,1
id00109,Other,1105,0
id00110,Android,2214,1
id00111,Android,3751,1
id00112,Android,1060,0
id00113,Other,3291,1
id00114,iOS,9930,1
id00115,Other,5956,0
id00116,Android,3212,1
id00117,iOS,12549,1
id00118,iOS,10945,0
id00119,iOS,8726,0
id00120,Other,4365,0
id00121,iOS,8174,0
id00122,Other,7281,0
id00123,Other,3057,0
id00124,Android,320,0
id00125,Android,0,1
id00126,iOS,9146,0
id00127,Other,0,0
id00128,Android,0,1
id00129,Android,2236,0
id00130,Other,7197,1
id00131,Android,950,1
id00132,iOS,9134,0
id00133,Android,0,1
id00134,iOS,9657,0
id00135,Android,2734,0
id00136,Android,2321,1
id00137,Other,5112,0
id00138,Other,1063,0
id00139,iOS,11899,1
id00140,Other,4704,1
id00141,Other,1826,0
id00142,iOS,11247,0
id00143,Android,2521,0
id00144,Android,1896,0
id00145,Android,1391,1
id00146,iOS,9896,0
id00147,Android,2564,1
id00148,iOS,6017,0
id00149,Android,1144,1
id00150,Other,1125,1
id00151,Other,2263,0
id00152,Other,2136,0
id00153,Android,4566,1
id00154,iOS,15828,0
id00155,iOS,7761,0
id00156,Android,671,1
id00157,Android,7204,0
id00158,Other,6697,1
id00159,Other,3889,0
id00160,Android,3763,0
id00161,Other,4587,1
id00162,Other,4311,0
id00163,iOS,10259,0
id00164,Android,3877,1
id00165,Android,5003,1
id00166,Android,1006,1
id00167,Other,4368,1
id00168,Android,0,0
id00169,Other,3038,0
id00170,Android,4416,1
id00171,Android,1976,1
id00172,Other,4593,1
id00173,iOS,10012,0
id00174,Android,307,0
