Amount (RUB),Checks count
54654,2
31100,1974
19734,210
40298,22
66910,0
6879,1307
80581,0
76225,0
85047,0
91477,0
6499,1541
50440,3
89276,0
5640,2828
86904,0
99990,0
10614,613
30843,61
34267,36
99724,0
44519,10
25777,110
18548,244
1332,207113
55238,1
76856,0
55648,1
43093,11
26993,100
3604,20929
17060,305
77543,0
1614,160612
13370,423
12640,474
41648,16
56909,2
25211,113
83322,0
2129,97174
53108,1
90611,0
77157,0
6366,1691
85705,0
52003,6
67320,0
87271,0
43185,13
7418,1070
42414,13
12330,509
6209,1832
56354,2
29791,55
57349,2
97567,0
33763,39
72736,0
28582,76
46083,8
2671,55479
52751,3
11201,549
17800,8622
57834,2
69513,0
86606,0
24301,120
22861,152
11421,531
65529,0
4128,11916
39022,24
73665,0
77540,0
13316,443
80382,0
58957,2
6432,1592
14282,439
24374,138
14857,403
55991,2
83574,0
78096,0
7095,1222
66426,1
24483,130
16149,314
13660,463
85253,0
49236,9
83732,0
95612,0
28324,80
33013,34
23181,136
63524,0
34720,35
8900,22446
37684,24
28747,59
42189,13
69740,0
57467,4
78828,0
65632,0
33566,51
69323,0
84662,0
27473,93
97557,0
43922,15
98877,0
77181,0
92380,0
28549,81
37406,26
79454,0
91785,0
86958,0
31740,51
49074,5
9647,676
62288,0
50751,8
86126,0
81719,0
69824,0
46738,8
96293,0
67664,0
92174,0
62900,46
14238,436
39376,15
40474,12
9579,638
28369,77
22059,182
29260,67
17135,288
83550,0
89301,0
59452,3
87826,0
80385,0
24745,111
90952,0
67496,1
48026,4
88645,0
2879,44952
7909,919
47975,6
28011,83
30780,73
44659,8
49728,6
97058,0
84447,0
44665,7
83289,0
52996,2
86412,0
33702,43
4819,5964
15336,387
25164,103
54976,2
31996,58
31863,47
39950,17
26911,102
66431,0
75809,0
40701,15
29611,73
37489,26
26387,109
67942,0
56142,2
74314,0
19597,218
77128,0
65660,0
83661,0
11542,534
33684,36
28782,71
39303,21
60852,2
23200,4809
63087,2
20201,215
25773,108
99146,0
64762,0
30321,58
28673,79
52588,1
27837,91
35938,33
23928,127
22179,183
64257,1
56968,2
65906,1
14131,424
50448,4
45378,10
14250,419
75311,0
44146,9
92708,0
89559,0
15859,341
16601,345
66723,0
47031,9
332,360217
55657,1
3156,33461
