Amount (RUB),Checks count
100,17829808
101,265379
102,266263
103,267303
104,268040
105,269154
106,270378
107,270811
108,272051
109,273031
110,273484
111,274953
112,276085
113,276759
114,277478
115,278356
116,278453
117,279541
118,281059
119,281560
120,282140
121,283797
122,283618
123,285039
124,285767
125,286642
126,287181
127,288291
128,288251
129,289983
130,290311
131,291119
132,291921
133,292061
134,292508
135,293935
136,295099
137,294988
138,296284
139,296764
140,297775
141,298335
142,299733
143,298789
144,299589
145,300570
146,301123
147,302144
148,302481
149,303813
150,303876
151,305110
152,305025
153,305976
154,306699
155,307153
156,308115
157,308445
158,309600
159,309834
160,310152
161,310630
162,311314
163,311844
164,312678
165,313017
166,313799
167,313972
168,314336
169,314661
170,315857
171,316285
172,317343
173,318055
174,317463
175,318230
176,319780
177,319527
178,320184
179,320259
180,320796
181,321879
182,321694
183,321954
184,322564
185,323356
186,323824
187,324240
188,325150
189,325388
190,326143
191,325686
192,326255
193,327000
194,327455
195,328195
196,328601
197,328642
198,328829
199,329505
200,22308730
201,329891
202,331169
203,331353
204,331438
205,331842
206,332431
207,332960
208,333129
209,332989
210,334367
211,334422
212,334706
213,334737
214,335670
215,335521
216,335902
217,336382
218,336530
219,337487
220,337338
221,337538
222,338227
223,338594
224,338990
225,339726
226,339594
227,339560
228,340215
229,340594
230,340814
231,340724
232,341667
233,342214
234,341731
235,342571
236,342434
237,343100
238,343145
239,343912
240,343586
241,343954
242,344136
243,344840
244,344494
245,345493
246,345110
247,346064
248,346306
249,346584
250,346221
251,346838
252,346751
253,347508
254,347724
255,347449
256,347816
257,348892
258,348854
259,349085
260,348881
261,349268
262,349116
263,349778
264,350335
265,350191
266,350624
267,350317
268,350758
269,351119
270,351264
271,351841
272,351611
273,352119
274,352709
275,352590
276,352857
277,352893
278,352732
279,352763
280,353176
281,353716
282,353041
283,353728
284,353980
285,354557
286,354153
287,354515
288,354797
289,355243
290,355226
291,355544
292,355613
293,355354
294,355181
295,356075
296,356286
297,356140
298,356542
299,356866
300,24113093
301,356828
302,356597
303,357394
304,357235
305,357039
306,357734
307,358036
308,357958
309,358139
310,357388
311,358363
312,358323
313,358236
314,358337
315,358458
316,358644
317,358822
318,359513
319,358960
320,358852
321,359052
322,359181
323,359861
324,359110
325,359592
326,360350
327,359839
328,360114
329,360563
330,359995
331,360306
332,360217
333,360543
334,361381
335,361124
336,360561
337,360680
338,360609
339,361023
340,360953
341,361012
342,360638
343,361559
344,361130
345,361244
346,361537
347,361785
348,361547
349,362135
350,361208
351,361515
352,362125
353,361691
354,361896
355,361932
356,361574
357,362651
358,362485
359,362630
360,362523
361,362048
362,362586
363,362763
364,363223
365,363176
366,363170
367,362989
368,362676
369,362826
370,362726
371,363083
372,363391
373,362614
374,363014
375,362832
376,363217
377,363706
378,363141
379,363510
380,362653
381,362600
382,363167
383,363336
384,363552
385,363542
386,363259
387,363333
388,363475
389,363311
390,363524
391,363332
392,363114
393,363570
394,363010
395,363217
396,363613
397,363058
398,363393
399,363390
400,24572842
401,364020
402,363471
403,363574
404,363329
405,362997
406,363914
407,363166
408,362983
409,363808
410,363495
411,363352
412,363373
413,363458
414,363595
415,363510
416,363363
417,363594
418,363030
419,363372
420,363489
421,362650
422,363693
423,363177
424,363239
425,363575
426,362839
427,363202
428,362501
429,362773
430,362936
431,363098
432,362654
433,363089
434,362078
435,363741
436,362737
437,363016
438,362557
439,362571
440,362471
441,361818
442,361790
443,362271
444,362487
445,361835
446,362546
447,361825
448,362659
449,361882
450,362476
451,361851
452,362048
453,362625
454,361467
455,361949
456,362095
457,361824
458,361689
459,361847
460,361830
461,362087
462,361790
463,360544
464,360624
465,361344
466,361829
467,362167
468,361010
469,361517
470,360467
471,360848
472,361140
473,361296
474,360732
475,360534
476,360006
477,360181
478,360412
479,360199
480,360261
481,360256
482,360357
483,360534
484,359898
485,360202
486,360194
487,359940
488,359580
489,360283
490,359363
491,359927
492,359003
493,359199
494,359606
495,359501
496,358991
497,358522
498,359327
499,359051
500,24246363
501,358177
502,358487
503,358295
504,358224
505,357956
506,358018
507,357788
508,357684
509,357396
510,357675
511,357284
512,357436
513,357587
514,357128
515,356926
516,357191
517,356658
518,356384
519,356887
520,357319
521,356481
522,356293
523,356303
524,355764
525,356463
526,355782
527,357093
528,355712
529,355703
530,356193
531,355824
532,355413
533,355321
534,354929
535,354125
536,355011
537,354747
538,354509
539,354499
540,354571
541,355125
542,354675
543,354479
544,353647
545,353748
546,354409
547,353621
548,353913
549,353336
550,353527
551,352974
552,353113
553,353043
554,352701
555,352580
556,352147
557,352771
558,352335
559,352225
560,353036
561,352016
562,351545
563,352066
564,351750
565,351916
566,351204
567,351192
568,350922
569,351384
570,350417
571,350499
572,350494
573,350337
574,350107
575,350179
576,350427
577,349979
578,349547
579,349568
580,350549
581,349788
582,349422
583,349278
584,349151
585,348746
586,348762
587,348575
588,348234
589,348107
590,348135
591,349000
592,348015
593,347848
594,347090
595,348094
596,347563
597,347072
598,346907
599,347183
600,23441943
601,347003
602,346317
603,346214
604,346602
605,346142
606,345799
607,345913
608,345114
609,345675
610,345240
611,345821
612,345239
613,344538
614,344732
615,345130
616,344188
617,344074
618,344009
619,343330
620,344071
621,343798
622,343688
623,343517
624,343744
625,342544
626,342770
627,342580
628,341990
629,341955
630,342480
631,341558
632,341725
633,342142
634,341303
635,342320
636,341168
637,340819
638,340124
639,340231
640,340611
641,340959
642,340098
643,340539
644,340308
645,339853
646,339509
647,338978
648,338851
649,339136
650,338883
651,338835
652,338489
653,338449
654,338458
655,338244
656,337631
657,337758
658,337698
659,337077
660,337475
661,336880
662,336949
663,337092
664,336779
665,336622
666,336008
667,336508
668,336928
669,336149
670,335806
671,336083
672,334988
673,335709
674,334975
675,334926
676,334876
677,334583
678,333983
679,334033
680,334145
681,333952
682,334013
683,333486
684,332899
685,333344
686,332740
687,332943
688,332818
689,332729
690,332096
