income,age,degree,region
11112.36783678464,58,Школа,Восток
10850.437406697383,48,Школа,Север
13089.052859636282,34,Школа,Запад
11291.99182862528,62,Школа,Запад
23798.19495852683,27,Университет,Юг
22241.659890579733,40,Университет,Юг
9764.407453037944,58,Школа,Восток
20005.73195226013,38,Университет,Запад
19545.07038709144,42,Университет,Запад
13435.09604390143,30,Школа,Юг
10189.898094108894,30,Школа,Север
19403.054406400734,43,Университет,Север
21639.55608225364,55,Университет,Запад
20805.665787254995,59,Университет,Запад
21589.13702515033,43,Университет,Восток
14779.627807787687,22,Школа,Восток
22826.141611857718,41,Университет,Юг
21054.021108603814,21,Университет,Запад
18183.15323158798,43,Университет,Север
10000.075005582728,63,Школа,Восток
12422.092205090607,49,Школа,Юг
8657.917920676367,57,Школа,Юг
25281.940592660707,21,Университет,Север
11028.833125271098,40,Школа,Восток
11097.69678641897,52,Школа,Север
9666.709614084044,31,Школа,Юг
11993.475513551437,41,Школа,Запад
18683.996386955536,63,Университет,Север
25329.785178202914,44,Университет,Юг
23634.702609304022,68,Университет,Запад
12968.592890394091,46,Школа,Запад
18219.141988420382,61,Университет,Восток
11410.826540915501,47,Школа,Восток
13418.17279602801,35,Школа,Юг
12186.210798715478,34,Школа,Север
8995.78179073245,66,Школа,Запад
9699.81248938269,70,Школа,Восток
20096.12772398802,63,Университет,Восток
19793.124331022784,22,Университет,Север
24057.557671420614,56,Университет,Восток
7157.9737223534885,70,Школа,Юг
12311.838279317673,26,Школа,Север
8415.393250143097,40,Школа,Запад
19077.497025097866,28,Университет,Юг
16980.533266262566,58,Университет,Запад
19901.89113768227,37,Университет,Запад
14021.463303078428,23,Школа,Восток
21529.648484929556,44,Университет,Юг
8603.276906001805,33,Школа,Юг
23034.295348758624,69,Университет,Север
23462.60852713737,28,Университет,Юг
21208.09296207817,45,Университет,Север
25069.49831630518,21,Университет,Юг
12643.128249249228,39,Школа,Запад
22365.305014585174,47,Университет,Север
19393.24258566742,66,Университет,Юг
12254.796971242682,26,Школа,Север
11433.582555208986,63,Школа,Восток
12039.658005342053,27,Школа,Восток
9630.82876171734,66,Школа,Север
11256.197768717973,54,Школа,Север
19366.276999570084,33,Университет,Запад
6705.735800067936,36,Школа,Юг
12996.609137156767,55,Школа,Восток
17995.222036620966,69,Университет,Восток
