BirthdayYear,Age,Gender,FarmerSince,New_Equipment,Yield
1988,36,0,2004,0.0,19.07123972272264
1978,46,1,1981,0.0,22.441922477962613
1964,60,0,1986,0.0,22.610117718038893
1992,32,0,1973,0.0,22.451258123349405
1957,67,0,1983,0.0,19.675394826934237
1970,54,1,1990,0.0,22.1307564588695
1988,36,0,2010,0.0,21.061141996778744
1968,56,0,1977,0.0,18.370491077360537
1972,52,1,2002,0.0,19.180501505578185
1960,64,1,2014,0.0,23.70660234382633
1960,64,1,1997,0.0,17.158871439910158
1973,51,1,1972,0.0,22.100047663806567
1985,39,0,1983,0.0,17.93870975675512
1989,35,0,1988,0.0,20.284707375997165
1973,51,1,1975,0.0,23.26208960374644
1952,72,1,2005,0.0,20.996374089019973
1971,53,0,1989,0.0,19.955078043099153
1951,73,0,1970,0.0,19.61811002716273
1973,51,1,1979,0.0,22.734334808042597
1993,31,0,1982,0.0,21.507382259749185
1979,45,0,1981,0.0,22.351625625226173
1987,37,1,1980,0.0,22.07104952948408
1951,73,1,2005,0.0,21.822138211220555
1970,54,1,1986,0.0,20.62906649418125
1982,42,1,2016,0.0,18.65348607012697
1961,63,0,1998,0.0,20.99021887627367
1971,53,1,1972,0.0,19.520930759090817
1993,31,0,1998,0.0,16.72833036275619
1974,50,0,1979,0.0,23.27033861283885
1998,26,0,2015,0.0,17.88941322427439
1976,48,1,1988,0.0,19.264791573342237
1991,33,0,1973,0.0,18.16532022313403
1977,47,1,2015,0.0,18.384892109229554
1965,59,1,2007,0.0,17.987077307938637
1964,60,1,1981,0.0,19.103742671208735
1996,28,0,2000,0.0,20.4504309699985
1993,31,1,1971,0.0,20.601306572044354
1952,72,1,2018,0.0,21.65137705864076
1986,38,0,1970,0.0,19.165728763255068
1956,68,1,1986,0.0,14.819954434007832
1970,54,0,1994,0.0,22.13916651547725
1958,66,0,1974,0.0,21.837283013064212
1988,36,1,2017,0.0,18.75054338126616
1967,57,1,1983,1.0,26.61086475279361
1953,71,1,1979,0.0,20.437219114955735
1974,50,1,1990,0.0,20.47327066345762
1963,61,0,1994,0.0,20.70036579824572
1999,25,1,2004,0.0,17.99940740560828
1958,66,1,1972,0.0,18.754930769208876
1975,49,0,1987,0.0,20.817266564262734
1951,73,1,2019,0.0,19.880443284669653
1969,55,1,2005,0.0,19.944071246676618
1977,47,1,2008,0.0,22.078072920871588
1996,28,1,2002,0.0,14.749138946809648
1956,68,1,2017,0.0,22.353754250298937
1993,31,0,1986,0.0,20.181086386414385
1957,67,1,2009,0.0,19.90447326526857
1996,28,0,1975,0.0,20.674757618627268
1984,40,0,2003,0.0,19.20551882707194
1963,61,0,1995,0.0,17.8289220909665
1966,58,0,2011,0.0,21.300434654641595
1985,39,1,2000,0.0,23.29707934637264
1999,25,1,2018,1.0,27.199280716688964
