Gender,Age,AgeGroup,TotalSpendings,ServiceCost,Profit
Female,48,45-49,58646.88,29722.14,28924.74
female,37,35-39,33552.59,27802.55,5750.04
Male,36,35-39,53454.26,30874.82,22579.44
Female,45,45-49,49542.03,26326.48,23215.55
Female,48,45-49,62438.75,36733.29,25705.46
female,35,35-39,34301.16,31829.72,2471.44
Male,49,45-49,70598.55,26127.83,44470.72
Male,50,50-54,41570.54,20667.73,20902.81
Female,40,40-44,53785.27,29347.36,24437.91
male,34,30-34,43936.43,39129.19,4807.24
Female,45,45-49,46238.41,34715.55,11522.86
Female,36,35-39,33105.82,36065.36,-2959.54
Female,34,30-34,61968.87,35792.39,26176.48
Female,40,40-44,47303.53,39725.29,7578.24
female,44,40-44,47983.42,36896.89,11086.53
Male,32,30-34,73124.82,31192.57,41932.25
female,34,30-34,59594.43,26743.4,32851.03
female,52,50-54,43316.39,37007.8,6308.59
female,50,50-54,43897.44,10647.19,33250.25
Female,34,30-34,52598.01,40139.14,12458.87
male,38,35-39,57707.3,35520.08,22187.22
Male,44,40-44,67524.42,43108.8,24415.62
male,32,30-34,33919.01,21043.27,12875.74
female,35,35-39,57270.19,39296.24,17973.95
female,46,45-49,58876.69,35308.48,23568.21
male,50,50-54,42104.93,25140.23,16964.7
male,37,35-39,46397.4,28909.18,17488.22
male,50,50-54,33696.68,28349.83,5346.85
female,54,50-54,44991.06,27080.26,17910.8
female,40,40-44,52320.94,19210.81,33110.13
Male,35,35-39,65941.17,39394.69,26546.48
Male,37,35-39,66863.65,22429.34,44434.31
female,39,35-39,39707.0,21601.98,18105.02
male,53,50-54,64578.59,39593.31,24985.28
male,32,30-34,30506.55,18778.38,11728.17
Male,52,50-54,44150.7,27578.92,16571.78
female,43,40-44,46981.9,22045.87,24936.03
Male,52,50-54,52517.89,43093.84,9424.05
Male,43,40-44,51065.1,39150.04,11915.06
Female,39,35-39,53656.99,23426.57,30230.42
Female,41,40-44,48170.43,22023.66,26146.77
Female,35,35-39,59595.89,36137.92,23457.97
male,41,40-44,56918.36,33466.8,23451.56
female,52,50-54,47104.37,27167.35,19937.02
female,43,40-44,58423.94,26427.54,31996.4
female,31,30-34,70684.35,28129.0,42555.35
female,38,35-39,43267.42,37215.46,6051.96
Female,39,35-39,66753.37,42565.66,24187.71
male,46,45-49,44165.25,44581.77,-416.52
male,46,45-49,64103.26,24124.45,39978.81
Female,32,30-34,44540.64,30464.16,14076.48
male,48,45-49,57656.62,40748.11,16908.51
Female,30,30-34,51796.33,23035.46,28760.87
female,41,40-44,32147.42,24543.37,7604.05
Female,36,35-39,69155.52,36374.96,32780.56
female,33,30-34,41045.48,26250.53,14794.95
female,39,35-39,37304.01,18196.73,19107.28
Male,42,40-44,43605.61,23384.66,20220.95
Female,31,30-34,75312.47,37922.39,37390.08
Male,39,35-39,37462.86,31992.27,5470.59
Female,50,50-54,51782.44,17502.09,34280.35
Female,51,50-54,38768.38,25128.51,13639.87
Male,54,50-54,40482.92,44581.79,-4098.87
Male,33,30-34,34005.77,29444.1,4561.67
Female,47,45-49,53151.68,28052.82,25098.86
male,34,30-34,48387.8,30065.67,18322.13
female,48,45-49,38686.34,31641.05,7045.29
Male,31,30-34,58732.03,26873.47,31858.56
female,41,40-44,59787.21,40724.31,19062.9
male,46,45-49,54072.19,26232.29,27839.9
male,39,35-39,61706.7,37950.13,23756.57
male,31,30-34,46509.9,44579.56,1930.34
Male,35,35-39,53223.75,33021.79,20201.96
male,37,35-39,46548.5,21618.86,24929.64
Male,48,45-49,34926.67,31505.94,3420.73
male,40,40-44,52192.46,25489.87,26702.59
female,54,50-54,51586.78,37184.63,14402.15
female,41,40-44,49698.06,31657.98,18040.08
Female,38,35-39,53738.75,29047.57,24691.18
female,31,30-34,64119.02,21933.1,42185.92
Female,37,35-39,47955.8,15112.48,32843.32
female,40,40-44,40428.31,23507.67,16920.64
Male,50,50-54,47522.49,35208.37,12314.12
female,33,30-34,48631.6,39462.4,9169.2
Female,39,35-39,59835.89,27519.18,32316.71
Female,50,50-54,51066.63,22442.5,28624.13
