BirthdayYear,Age,Gender,ClientSince,A,B,Purchased
2003,21,Male,2023,,,
2001,23,Female,2024,,,
2002,22,Male,2024,,,
2004,20,Male,2023,,1,1
2003,21,Female,2024,,,
2004,20,Male,2024,,,
1994,30,Male,2024,,,
2004,20,Female,2024,,,
1997,27,Male,2024,,,
1998,26,Female,2023,1,,
2002,22,Male,2024,,,
1999,25,Male,2024,,,
1984,40,Male,2023,,,
2003,21,Male,2024,,,
2000,24,Female,2023,,1,
2002,22,Female,2024,,,
2001,23,Male,2024,,,
2001,23,Male,2024,,,
2001,23,Female,2024,,,
2001,23,Female,2024,,,
2003,21,Male,2024,,,
1993,31,Female,2023,,,1
1996,28,Female,2023,,,
1999,25,Male,2024,,,
1985,39,Male,2023,,,
2001,23,Male,2023,,,
1996,28,Female,2024,,,
1994,30,Female,2023,,,
1993,31,Male,2024,,,
1999,25,Female,2024,,,
2004,20,Male,2024,,,
1999,25,Male,2024,,,
1999,25,Female,2024,,,
2000,24,Female,2024,,,
2001,23,Male,2023,,,
2003,21,Female,2024,,,
1990,34,Female,2024,,,
2000,24,Female,2023,,,
2000,24,Male,2024,,,
1998,26,Male,2023,,,1
2003,21,Female,2024,,,
2002,22,Male,2024,,,
2002,22,Male,2024,,,
1999,25,Male,2024,,,
2000,24,Male,2023,,,
1997,27,Male,2024,,,
2003,21,Male,2024,,,
2002,22,Male,2024,,,
1994,30,Female,2024,,,
1994,30,Female,2024,,,
2003,21,Female,2024,,,
1996,28,Female,2024,,,
2000,24,Male,2023,,,
2002,22,Female,2024,,,1
2002,22,Female,2024,,,
1994,30,Male,2024,,,
2000,24,Female,2024,,,
2001,23,Female,2024,,,
2003,21,Female,2024,,,
1999,25,Male,2024,,,
1982,42,Male,2024,,,
2000,24,Female,2024,,,
1999,25,Female,2024,,,
2003,21,Female,2024,,,
2004,20,Male,2024,,,
2003,21,Male,2023,1,,
1998,26,Male,2024,,,
2002,22,Male,2024,,,
2002,22,Male,2024,,,
2000,24,Female,2023,,,1
2001,23,Female,2024,,,
2004,20,Female,2023,,1,
2003,21,Male,2024,1,,
2002,22,Female,2024,,,
2003,21,Male,2024,1,,
2002,22,Male,2024,,,
2004,20,Male,2023,,,
1997,27,Male,2024,,,
2003,21,Male,2024,,,
1998,26,Male,2024,,,
2003,21,Female,2024,,,
2003,21,Male,2024,,,
2004,20,Male,2024,,,
1999,25,Male,2024,,,
2003,21,Female,2024,,,
1995,29,Female,2023,,,
1998,26,Male,2024,,,
2003,21,Male,2024,,,
1999,25,Female,2024,,,
1999,25,Male,2024,,,
1993,31,Female,2024,,,
2000,24,Female,2024,,,
1995,29,Male,2024,,,
2003,21,Female,2024,,,
2002,22,Male,2024,,,
1999,25,Male,2024,,,
2002,22,Male,2024,,,
1997,27,Female,2024,,,
2001,23,Female,2024,,,
2002,22,Male,2024,,,
2001,23,Female,2024,,,
1999,25,Female,2024,,,
2002,22,Male,2024,,,
1988,36,Female,2024,,,
2002,22,Female,2024,,,
2004,20,Female,2024,,,
2003,21,Male,2024,,,1
1999,25,Male,2024,,,
2000,24,Female,2024,,,
2001,23,Female,2024,,,
2004,20,Male,2024,,,
1997,27,Male,2024,,,
2002,22,Female,2024,,,
2001,23,Female,2024,,,
1996,28,Female,2024,,,
2004,20,Male,2024,,,
1997,27,Female,2024,,,
2001,23,Male,2024,,,
2002,22,Female,2024,,,
2000,24,Female,2024,,,
2004,20,Female,2024,,,
2000,24,Female,2024,,,
2000,24,Male,2024,,,
1999,25,Female,2024,,,
2001,23,Male,2024,,,1
1989,35,Female,2024,,,
2002,22,Male,2024,1,,
2004,20,Male,2024,,,
1999,25,Female,2024,,,
2003,21,Female,2024,,,
1998,26,Male,2024,,,
2003,21,Female,2023,,,
2004,20,Male,2023,,,
2000,24,Male,2024,,,
1999,25,Female,2024,,,
1999,25,Male,2023,,,
2003,21,Female,2024,,,
2001,23,Male,2024,,,
1998,26,Female,2023,,,
2001,23,Female,2024,,,
2002,22,Male,2024,,,
2000,24,Male,2024,,,
2004,20,Male,2024,,,
2003,21,Female,2024,,,
2001,23,Male,2024,,,
2001,23,Male,2023,,,
2002,22,Male,2024,,,
2003,21,Male,2024,,,
1996,28,Male,2024,,,
1999,25,Male,2024,,,
2004,20,Female,2024,,,
2002,22,Female,2024,,,
2001,23,Male,2023,,,
2000,24,Female,2024,,,
2003,21,Female,2024,,,
2002,22,Female,2024,,,
2002,22,Male,2024,,,
2003,21,Male,2023,,,1
1999,25,Female,2024,,,
2004,20,Male,2024,,,
2003,21,Male,2023,,,
1998,26,Female,2024,,,
1999,25,Male,2024,,,
2002,22,Female,2024,,,
2003,21,Male,2024,,,
2002,22,Male,2024,,,
2002,22,Male,2023,,,
1999,25,Female,2024,,,
2004,20,Male,2024,,,
1995,29,Male,2023,,,
2003,21,Female,2024,,,
2004,20,Male,2024,,,
1997,27,Female,2023,,,
2003,21,Female,2024,,,
2001,23,Male,2023,,,
2004,20,Female,2024,,,
2004,20,Female,2024,,,
2001,23,Male,2024,,,
2004,20,Female,2024,,,
2002,22,Male,2024,,,
2004,20,Male,2024,,,
2003,21,Female,2024,,,
2003,21,Female,2024,,,
1996,28,Female,2024,,,
2002,22,Male,2024,,,
1997,27,Male,2024,,,
2002,22,Male,2023,,,1
2000,24,Female,2024,,,
2000,24,Male,2024,,,
2003,21,Female,2024,,,
2000,24,Male,2024,,,
2002,22,Female,2023,,,
2002,22,Male,2024,,,
2001,23,Male,2024,,,
2002,22,Male,2024,,,
2000,24,Male,2023,,,
1999,25,Male,2024,,,
2000,24,Female,2024,,,
2003,21,Female,2024,,,
1999,25,Male,2024,,,
2002,22,Male,2024,,,
1993,31,Female,2024,,,
2003,21,Male,2024,,,
2004,20,Male,2024,,,
2003,21,Female,2024,,,
2003,21,Male,2024,,,
2001,23,Female,2024,,,
2002,22,Female,2024,,,
1993,31,Male,2024,,,
2002,22,Female,2024,,,
2003,21,Female,2024,,,
2003,21,Female,2024,,,
2004,20,Male,2024,,,
1989,35,Male,2024,,,
1998,26,Female,2024,,,
1993,31,Male,2024,,,
2000,24,Male,2024,,,
2003,21,Male,2024,,,
1998,26,Female,2024,,,
2002,22,Male,2024,,,
2000,24,Female,2024,,,
2002,22,Female,2024,,,
2001,23,Male,2024,1,,1
2003,21,Female,2024,,,
2001,23,Male,2024,,,
2003,21,Female,2024,,,
1990,34,Male,2024,,,
2004,20,Female,2024,,,
2004,20,Male,2024,,,
1981,43,Female,2024,,,
2001,23,Female,2023,,,
2003,21,Male,2024,,,
2002,22,Male,2024,,,
1996,28,Male,2024,,,
2003,21,Male,2024,,,
2002,22,Male,2024,,,1
1996,28,Male,2024,,,
2003,21,Male,2024,,,
2000,24,Female,2024,,,
1991,33,Male,2024,,,
2001,23,Male,2024,,,
2004,20,Male,2024,,,
2004,20,Male,2024,,,
2001,23,Female,2024,,,
2003,21,Male,2023,,,
2001,23,Male,2023,,,
2003,21,Male,2023,,,1
2000,24,Female,2024,,,
2004,20,Male,2023,,,1
2004,20,Female,2023,,,
2000,24,Male,2024,,,
1994,30,Female,2024,1,,
2001,23,Female,2024,,,
2003,21,Female,2024,,,
2002,22,Female,2024,,,
1999,25,Female,2023,,,
1999,25,Male,2023,,,
1996,28,Male,2024,,,
2004,20,Female,2023,,,
2000,24,Male,2024,,,1
2000,24,Male,2024,,1,
1999,25,Male,2024,,,
1990,34,Female,2024,,,
2003,21,Female,2024,,,
1989,35,Female,2023,,,1
2001,23,Female,2024,,,
2000,24,Male,2023,,,
1990,34,Female,2024,,,
2004,20,Female,2024,,,
2002,22,Male,2024,,,
1994,30,Male,2024,,,
1995,29,Male,2023,,,
1988,36,Male,2024,,,
2003,21,Male,2024,,,
2000,24,Male,2024,,,
2003,21,Male,2023,,,
1993,31,Male,2024,,,
2001,23,Female,2024,,,
1997,27,Male,2024,,,
2003,21,Female,2023,,1,
2002,22,Male,2024,,,
2001,23,Male,2024,,,
2001,23,Female,2024,,,
2002,22,Male,2024,,,
2001,23,Male,2024,,,
2000,24,Male,2024,,,
2002,22,Male,2024,,,
2000,24,Female,2023,,,
2003,21,Female,2024,,,
2003,21,Male,2024,,,
2001,23,Female,2023,,,
2004,20,Female,2024,,,
1999,25,Male,2024,,,
2002,22,Male,2023,,,
2001,23,Female,2024,,,
2001,23,Female,2024,,,
1998,26,Female,2024,,,
2004,20,Female,2024,,,
2000,24,Female,2024,,,
1995,29,Female,2023,,,
2002,22,Male,2023,,,
1996,28,Male,2024,,,
2000,24,Male,2023,,,
1999,25,Female,2023,,,
1997,27,Male,2024,,,
2004,20,Female,2024,,,
1986,38,Male,2024,,1,
1998,26,Female,2024,,,
2002,22,Male,2024,,,
2003,21,Male,2024,,,
1990,34,Female,2024,,,
2001,23,Male,2023,,,
1992,32,Male,2023,,,1
2000,24,Male,2024,,,
2003,21,Female,2024,,,
2001,23,Female,2024,,,
1992,32,Male,2024,,,
2002,22,Male,2024,,,
2002,22,Female,2023,,,
2003,21,Female,2023,,,
1998,26,Male,2024,,,
2001,23,Female,2024,,,
2001,23,Female,2024,,,
1998,26,Female,2024,,,1
2002,22,Male,2023,,,
2003,21,Female,2024,,,
1997,27,Female,2024,,,
2004,20,Female,2024,,,
2002,22,Female,2023,,,1
2002,22,Female,2024,,,
2003,21,Female,2024,,,
2001,23,Female,2024,,,
2002,22,Male,2024,,,
2004,20,Female,2024,,,
2001,23,Male,2024,,,
2000,24,Male,2024,,,
1999,25,Female,2024,,,
2000,24,Male,2023,,,
2002,22,Male,2024,,,
1997,27,Male,2024,,,
1996,28,Male,2024,,,
2001,23,Male,2024,,,
1995,29,Male,2024,,,
1988,36,Female,2023,,,
1997,27,Female,2024,,,
1998,26,Female,2024,,,
1997,27,Female,2024,,,
2001,23,Female,2024,,,
2002,22,Female,2024,,,
2002,22,Male,2024,,,
2001,23,Female,2024,,,
2003,21,Female,2024,,,
2002,22,Male,2024,,,
1999,25,Female,2023,,,
2003,21,Female,2024,,,
1991,33,Female,2024,,,
2002,22,Female,2024,,,
1999,25,Male,2024,,,
1996,28,Male,2023,,,1
1998,26,Female,2024,,,
1997,27,Female,2024,,,
2001,23,Female,2024,,,
2003,21,Female,2023,,,
2003,21,Female,2023,,,
2004,20,Female,2024,,,
2001,23,Male,2024,,,
1997,27,Female,2024,,,
2003,21,Female,2024,,,
1994,30,Female,2023,,,
2003,21,Male,2024,,,
2003,21,Male,2024,,,
1999,25,Male,2024,,,
2003,21,Female,2024,,,
2002,22,Male,2024,,,
2004,20,Male,2024,,1,
2004,20,Female,2023,,,
1995,29,Female,2024,,,
2003,21,Female,2024,,,
2004,20,Female,2024,,,
1997,27,Male,2023,,,
2004,20,Female,2024,,,
2003,21,Male,2024,,,
1996,28,Male,2024,,,
1998,26,Female,2024,,,
2003,21,Female,2024,,,
2003,21,Male,2024,,,
1999,25,Female,2024,,,
2002,22,Female,2024,,,
1998,26,Male,2024,,,
1992,32,Female,2024,,,
2004,20,Female,2024,,,
1997,27,Female,2024,,,
1997,27,Male,2023,,,
2003,21,Female,2024,,,
2000,24,Female,2023,,,
2004,20,Female,2024,,,
2003,21,Male,2023,,,
2003,21,Female,2024,,,
2003,21,Female,2024,,,
2003,21,Male,2023,,,
2003,21,Male,2024,,,
2003,21,Male,2024,,,
1998,26,Male,2024,,,
1995,29,Male,2024,1,,
2002,22,Male,2024,,,
1997,27,Male,2024,,,
1995,29,Male,2023,,,
2001,23,Female,2023,,,
1998,26,Female,2024,,,
2003,21,Female,2024,,,
2002,22,Male,2024,,1,1
2001,23,Female,2024,,,
2004,20,Male,2023,,,
2000,24,Female,2024,,,
1999,25,Male,2023,,,
1999,25,Male,2023,,,
1998,26,Female,2024,,,1
1997,27,Female,2024,,,
2001,23,Male,2023,,,
1996,28,Male,2024,,,1
2000,24,Male,2024,,,
2004,20,Female,2024,,,
2003,21,Male,2024,,,
1996,28,Male,2024,,,
2002,22,Male,2024,,,
1996,28,Male,2024,,,
2001,23,Male,2024,,,
1999,25,Female,2024,,,
2003,21,Male,2024,,,
1992,32,Male,2024,,,
1981,43,Male,2024,,,
1997,27,Female,2023,,,
2001,23,Female,2024,,,
2000,24,Male,2024,,,
2000,24,Male,2024,,,
2002,22,Female,2024,1,,
2004,20,Female,2024,,,
2000,24,Male,2024,,,
2003,21,Female,2024,,,
2002,22,Female,2024,,,
2003,21,Female,2024,,,
1987,37,Male,2024,,,
2002,22,Female,2024,,,
2003,21,Female,2024,,,
1992,32,Female,2023,,,
1992,32,Male,2024,,,
1991,33,Female,2024,,,
1999,25,Female,2024,,,
2001,23,Female,2023,,,
2004,20,Female,2024,,,
2004,20,Female,2024,,,
2003,21,Female,2024,,,
2002,22,Male,2023,,,
2003,21,Male,2024,,,
2002,22,Male,2023,,,1
2000,24,Male,2024,,,
1992,32,Female,2024,,,
2004,20,Male,2023,,,
1999,25,Male,2024,,,
1999,25,Male,2024,,,
1996,28,Male,2024,,,
2002,22,Male,2024,,,
2000,24,Male,2023,,,
2002,22,Male,2024,,,
2003,21,Male,2024,,,
1999,25,Male,2024,,,
1994,30,Male,2024,,,
2002,22,Male,2024,,,
2004,20,Male,2024,,,
2003,21,Female,2023,,,
2001,23,Female,2024,,,
2004,20,Male,2023,,1,1
2000,24,Female,2024,,,
2004,20,Female,2024,,,
2000,24,Female,2024,,,
1997,27,Female,2024,,,
2003,21,Female,2024,,,
1994,30,Male,2024,,,
2004,20,Female,2024,,,
1999,25,Female,2024,,,
2003,21,Female,2024,,,
1993,31,Female,2024,,,
1998,26,Male,2024,,,
1995,29,Female,2024,,,
1984,40,Male,2024,,,
2002,22,Female,2024,,,
1998,26,Female,2024,,,
2004,20,Female,2024,,,
1999,25,Female,2023,,,
1996,28,Female,2024,,,
1999,25,Male,2024,,,
2003,21,Female,2023,,,
2004,20,Female,2024,,,
2003,21,Male,2023,,,
2002,22,Male,2024,,,
2002,22,Female,2024,,,
2001,23,Female,2024,,,
1999,25,Male,2024,,,
1996,28,Female,2024,,,
2002,22,Male,2024,,,
1996,28,Male,2024,,,
2003,21,Male,2023,,,
1994,30,Female,2024,,,
2003,21,Female,2024,,,
2001,23,Female,2024,,,
2000,24,Male,2024,1,,
2001,23,Female,2024,,,
1998,26,Male,2024,,,
1997,27,Male,2024,,,
2001,23,Male,2024,,,
2004,20,Male,2024,,,
2004,20,Female,2024,,,
2004,20,Female,2024,,,
2002,22,Male,2024,,,
1996,28,Male,2023,,,
1997,27,Male,2024,,,
2001,23,Male,2024,,,
1999,25,Male,2024,,,
2000,24,Male,2024,,,
2002,22,Female,2024,,,
2004,20,Male,2024,,,
2003,21,Female,2024,,,
2003,21,Female,2024,,,
2001,23,Female,2023,,,
2000,24,Female,2024,,,
2003,21,Male,2024,,,
2003,21,Male,2024,,,
2003,21,Female,2024,,,
2000,24,Male,2024,,,
2002,22,Male,2024,,,
1996,28,Male,2024,,,
2003,21,Female,2024,,,
1999,25,Female,2023,,,
2002,22,Female,2024,,,
1995,29,Female,2024,,,
2004,20,Male,2024,,,
1999,25,Male,2024,,,
2001,23,Male,2024,,,
1999,25,Male,2024,,,
2000,24,Male,2024,,,
1994,30,Male,2024,,,
2001,23,Female,2024,,,
1998,26,Male,2024,,,
2000,24,Female,2024,,,
1999,25,Female,2024,,,
1997,27,Male,2024,,,
1994,30,Male,2024,,,
2004,20,Female,2024,,,
2001,23,Female,2024,,,
2000,24,Male,2024,,,
1992,32,Male,2023,,,
