Id,Age,Gender,Purchased
id1,<25,Male,No
id2,<25,Female,No
id3,<25,Female,Yes
id4,<25,Male,No
id5,25+,Male,No
id6,25+,Female,No
id7,<25,Male,No
id8,<25,Male,No
id9,<25,Female,No
id10,25+,Female,No
id11,<25,Female,No
id12,<25,Male,No
id13,25+,Male,No
id14,<25,Male,No
id15,<25,Male,No
id16,<25,Female,No
id17,<25,Male,No
id18,<25,Male,No
id19,<25,Female,No
id20,<25,Male,No
id21,<25,Female,No
id22,<25,Male,No
id23,<25,Female,No
id24,<25,Male,No
id25,25+,Female,No
id26,25+,Male,No
id27,25+,Female,No
id28,<25,Female,No
id29,25+,Male,No
id30,<25,Female,No
id31,<25,Female,No
id32,<25,Male,No
id33,<25,Male,No
id34,25+,Female,Yes
id35,<25,Female,No
id36,<25,Male,Yes
id37,25+,Female,No
id38,<25,Female,No
id39,<25,Female,No
id40,<25,Female,No
id41,25+,Male,No
id42,<25,Female,No
id43,<25,Female,No
id44,<25,Female,No
id45,<25,Female,No
id46,<25,Female,No
id47,<25,Female,No
id48,25+,Female,No
id49,<25,Female,No
id50,<25,Male,No
id51,<25,Female,No
id52,<25,Male,No
id53,<25,Male,No
id54,<25,Male,No
id55,25+,Female,No
id56,<25,Male,Yes
id57,<25,Male,No
id58,25+,Female,No
id59,<25,Male,No
id60,<25,Female,Yes
id61,25+,Female,No
id62,25+,Female,No
id63,25+,Male,No
id64,<25,Female,No
id65,25+,Female,No
id66,<25,Female,Yes
id67,<25,Male,Yes
id68,<25,Female,No
id69,25+,Male,No
id70,<25,Female,Yes
id71,<25,Male,No
id72,<25,Female,No
id73,25+,Female,No
id74,25+,Male,No
id75,25+,Male,No
id76,<25,Male,No
id77,<25,Male,No
id78,<25,Female,Yes
id79,<25,Male,No
id80,25+,Female,No
id81,25+,Male,No
id82,<25,Female,No
id83,<25,Female,No
id84,<25,Male,No
id85,25+,Female,No
id86,<25,Male,No
id87,25+,Male,Yes
id88,25+,Male,No
id89,<25,Female,No
id90,<25,Male,No
id91,<25,Male,No
id92,<25,Male,No
id93,<25,Female,No
id94,<25,Female,No
id95,<25,Female,No
id96,<25,Male,No
id97,<25,Male,Yes
id98,25+,Male,No
id99,<25,Male,No
id100,25+,Male,No
id101,<25,Male,No
id102,<25,Male,No
id103,<25,Female,No
id104,<25,Female,No
id105,<25,Male,No
id106,<25,Female,No
id107,25+,Male,No
id108,<25,Male,No
id109,<25,Female,No
id110,<25,Male,No
id111,<25,Male,No
id112,<25,Male,Yes
id113,25+,Female,No
id114,<25,Female,Yes
id115,<25,Female,No
id116,<25,Male,Yes
id117,25+,Female,No
id118,<25,Male,No
id119,<25,Female,No
id120,<25,Female,No
id121,<25,Male,No
id122,<25,Male,No
id123,<25,Female,No
id124,25+,Female,No
id125,<25,Male,No
id126,<25,Female,No
id127,<25,Male,No
id128,25+,Male,No
id129,<25,Male,No
id130,<25,Male,No
id131,<25,Male,No
id132,25+,Male,No
id133,<25,Male,Yes
id134,<25,Female,No
id135,<25,Male,No
id136,25+,Female,Yes
id137,<25,Male,No
id138,<25,Female,No
id139,<25,Male,No
id140,<25,Male,No
id141,<25,Female,No
id142,<25,Female,No
id143,<25,Female,No
id144,25+,Male,No
id145,25+,Female,No
id146,<25,Male,No
id147,<25,Male,No
id148,25+,Female,No
id149,<25,Male,Yes
id150,<25,Male,No
id151,25+,Male,No
id152,<25,Female,No
id153,<25,Male,No
id154,<25,Male,No
id155,<25,Male,No
id156,<25,Female,Yes
id157,<25,Female,Yes
id158,<25,Female,No
id159,<25,Male,No
id160,<25,Female,Yes
id161,<25,Female,No
id162,25+,Male,No
id163,<25,Female,No
id164,25+,Male,No
id165,25+,Female,No
id166,<25,Male,No
id167,<25,Female,No
id168,<25,Male,No
id169,25+,Female,No
id170,<25,Male,Yes
id171,<25,Male,No
id172,<25,Male,No
id173,<25,Male,Yes
id174,<25,Female,No
id175,<25,Male,No
id176,<25,Male,Yes
id177,<25,Male,No
id178,25+,Male,No
id179,25+,Male,No
id180,<25,Female,Yes
id181,25+,Female,No
id182,<25,Female,No
id183,<25,Male,Yes
id184,<25,Female,No
id185,25+,Male,No
id186,25+,Male,Yes
id187,<25,Female,No
