Payments,Costs,Profit,Age,Gender,AgeGroup
9400,8100,1300,19,male,18-24
26600,13900,12700,29,male,25-39
9750,6750,3000,20,male,18-24
29700,11200,18500,18,female,18-24
49700,10450,39250,21,female,18-24
14300,7500,6800,18,male,18-24
30300,11400,18900,18,female,18-24
53100,17800,35300,21,female,18-24
10300,7700,2600,18,male,18-24
111400,35650,75750,21,male,18-24
13500,9200,4300,19,male,18-24
18900,13250,5650,31,Female,25-39
18700,13250,5450,37,Female,25-39
10450,7650,2800,18,male,18-24
9300,8800,500,18,male,18-24
44150,17150,27000,19,female,18-24
18850,14850,4000,31,male,25-39
48500,18000,30500,18,female,18-24
8850,7750,1100,19,male,18-24
49850,21100,28750,21,female,18-24
36900,15950,20950,19,female,18-24
49850,11900,37950,18,female,18-24
8950,7300,1650,18,male,18-24
21000,10200,10800,36,Female,25-39
10100,7400,2700,19,male,18-24
13750,6400,7350,18,male,18-24
24350,12100,12250,28,male,25-39
10250,7600,2650,19,male,18-24
8500,6950,1550,18,male,18-24
20350,16250,4100,30,FEMALE,25-39
10300,6650,3650,19,male,18-24
37500,20300,17200,18,female,18-24
51350,16900,34450,18,female,18-24
33000,18100,14900,18,female,18-24
9050,7350,1700,19,male,18-24
11300,11700,-400,38,Female,25-39
41600,12600,29000,19,female,18-24
43000,10000,33000,19,female,18-24
19750,12950,6800,25,female,25-39
9650,8750,900,19,male,18-24
10450,8950,1500,18,male,18-24
10700,7600,3100,19,male,18-24
35800,17950,17850,18,female,18-24
8250,8450,-200,19,male,18-24
11150,7450,3700,20,male,18-24
48250,16850,31400,22,female,18-24
10400,7850,2550,18,male,18-24
27200,13750,13450,26,male,25-39
8500,9100,-600,20,male,18-24
10700,6700,4000,19,male,18-24
10500,8400,2100,18,male,18-24
10450,6750,3700,19,male,18-24
24550,9750,14800,28,male,25-39
18700,16150,2550,28,male,25-39
19650,12900,6750,30,male,25-39
62500,17750,44750,23,female,18-24
6600,9300,-2700,18,male,18-24
9000,8650,350,18,male,18-24
6850,8650,-1800,20,male,18-24
8450,8250,200,20,male,18-24
26250,11450,14800,34,male,25-39
20350,10700,9650,27,male,25-39
46150,16800,29350,22,female,18-24
9400,7200,2200,18,male,18-24
8800,8200,600,20,male,18-24
51200,10450,40750,18,female,18-24
6550,7900,-1350,20,male,18-24
128950,40150,88800,21,male,18-24
40250,14250,26000,19,female,18-24
13800,6800,7000,20,male,18-24
10100,9750,350,18,male,18-24
47300,19400,27900,19,female,18-24
12150,8000,4150,18,male,18-24
42200,20250,21950,18,female,18-24
8250,7200,1050,20,male,18-24
10850,7900,2950,18,male,18-24
9450,6600,2850,19,male,18-24
10600,8000,2600,18,male,18-24
47550,18150,29400,21,female,18-24
9550,7800,1750,19,male,18-24
116550,44850,71700,24,male,18-24
14200,9850,4350,19,male,18-24
33900,13100,20800,18,female,18-24
25250,11000,14250,38,Female,25-39
45100,16100,29000,21,female,18-24
11800,8300,3500,18,male,18-24
18450,11750,6700,28,female,25-39
8500,10250,-1750,18,male,18-24
39950,18250,21700,19,female,18-24
7250,8000,-750,20,male,18-24
126500,41650,84850,23,male,18-24
19650,7300,12350,29,FEMALE,25-39
35200,13900,21300,19,female,18-24
10100,7400,2700,19,male,18-24
15750,12050,3700,25,female,25-39
7250,9350,-2100,18,male,18-24
9850,7000,2850,20,male,18-24
25900,14850,11050,25,female,25-39
12500,7600,4900,19,male,18-24
133150,33500,99650,23,male,18-24
10600,9100,1500,19,male,18-24
12400,10000,2400,18,male,18-24
26500,12550,13950,27,female,25-39
19150,14450,4700,35,Female,25-39
44500,20800,23700,24,female,18-24
38200,16300,21900,18,female,18-24
7800,9800,-2000,19,male,18-24
7900,6900,1000,19,male,18-24
10350,8750,1600,18,male,18-24
56900,11700,45200,19,female,18-24
26050,12600,13450,25,female,25-39
6200,7900,-1700,18,male,18-24
10600,7350,3250,18,male,18-24
8850,7300,1550,18,male,18-24
48350,11650,36700,18,female,18-24
115450,44250,71200,21,male,18-24
46900,11150,35750,19,female,18-24
9300,7900,1400,18,male,18-24
9600,7750,1850,18,male,18-24
124800,40150,84650,24,male,18-24
44700,14900,29800,18,female,18-24
17000,11600,5400,31,male,25-39
21200,10050,11150,29,male,25-39
