name,contry_origin,domain,price_category,founded,presence_world,presence_russia,presence_regions
Tamaris,Германия,Обувь,Средний; Выше среднего,1967.0,1995.0,80 и 876 франчайзинговых,Москва; Санкт-Петербург; Барнаул; Бийск; Екатеринбург; Ижевск; Иркутск; Краснодар; Нижневартовск; Нижний Тагил; Новокузнецк; Новороссийск; Новосибирск; Омск; Оренбург; Петрозаводск; Псков; Самара; Ставрополь; Тюмень; Улан-Удэ; Ульяновск; Уфа; Хабаровск; Чебоксары
100 Столов,Россия,Мебель,Средний,2008.0,4.0,4,Брянск
1000 и одна сумка,Россия,Аксессуары,Ниже среднего; Средний,2003.0,,69 и 45 франчайзинговых,Москва; Санкт-Петербург; Анапа; Армавир; Астрахань; Балаково; Белгород; Брянск; Великие Луки; Великий Новгород; Владимир; Волгоград; Вологда; Волхов; Воронеж; Гатчина; Екатеринбург; Иваново; Казань; Калининград; Калуга; Кемерово; Кингисепп; Ковров; Колпино; Кострома; Краснодар; Красноярск; Липецк; Мончегорск; Мурманск; Нижнекамск; Новороссийск; Оренбург; Орск; Псков; Ростов-на-Дону; Рыбинск; Рязань; Самара; Саратов; Севастополь; Северодвинск; Симферополь ; Смоленск; Сочи; Ставрополь; Старый Оскол; Таганрог; Тамбов; Тверь; Тобольск; Тюмень; Ульяновск; Уфа; Челябинск; Череповец; Шахты; Энгельс; Ялта; Ярославль
1000 и одна туфелька,Россия,Товары и услуги для детей,Средний,,,22,Санкт-Петербург
1001 Платье,Россия,Одежда,Средний,2008.0,14.0,14,Москва; Санкт-Петербург
1001 тур,Россия,"Туризм, путешествия",Средний,2002.0,,157 и 170 франчайзинговых,Москва; Санкт-Петербург; Архангельск; Балашиха; Белгород; Великий Новгород; Владивосток; Волгоград; Воронеж; Екатеринбург; Железногорск; Железнодорожный; Зеленоград; Иваново; Ижевск; Иркутск; Йошкар-Ола; Казань; Калининград; Киров; Королев; Краснодар; Курск; Липецк; Муром; Мытищи; Нижний Новгород; Новокузнецк; Саратов; Серпухов; Таганрог; Тамбов; Тверь; Тула; Уфа; Хабаровск; Челябинск; Ярославль
12 Талеров,Россия,Хобби и увлечения,Средний; Выше среднего,2008.0,2.0,2,Москва
12Storeez,Россия,Одежда,Средний,2014.0,,19,Москва; Санкт-Петербург; Владивосток; Екатеринбург; Казань; Краснодар; Новосибирск; Ростов-на-Дону; Сочи
13 by Timati,,Красота,Средний; Выше среднего,,3.0,3,Москва
13 Rules,Россия,"Кафе, ресторан",Средний,2012.0,3.0,3 и 30 франчайзинговых,Москва; Санкт-Петербург; Воронеж; Киров; Краснодар; Новосибирск; Уфа
16DEN,Россия,Одежда,Средний,2008.0,,10,Оренбург
1811 Eighteen One One,Россия,Одежда,Средний; Выше среднего,2017.0,,5,Москва; Одинцово
